file_path	entropy	error_count	lines	complexity	function_count	dependency_count	semantic_fingerprint
openhcs/processing/func_registry.py	113.33	0	245	16	7	9	86f4b77d
openhcs/processing/__init__.py	111.04	0	46	1	0	3	8054981f
openhcs/processing/registry_base.py	118.56	0	101	6	4	2	04e51f4f
openhcs/processing/function_registry.py	117.15	0	269	7	8	5	322b96c9
openhcs/processing/backends/__init__.py	0.00	0	0	1	0	0	c5e30f74
openhcs/processing/backends/assemblers/assemble_stack_cupy.py	117.99	7	227	22	2	7	f6a523e0
openhcs/processing/backends/assemblers/__init__.py	111.05	0	11	1	0	2	e2f27aeb
openhcs/processing/backends/assemblers/self_supervised_stitcher.py	117.48	2	661	49	10	6	f659f001
openhcs/processing/backends/assemblers/assemble_stack_cpu.py	117.95	6	211	20	2	6	3da8e27a
openhcs/processing/backends/analysis/rrs_vectorized_tracer.py	115.69	9	197	22	1	3	a2ff5aa5
openhcs/processing/backends/analysis/__init__.py	121.35	0	34	3	0	2	c22b9e05
openhcs/processing/backends/analysis/self_supervised_segmentation_3d.py	120.77	5	300	32	7	4	6d3573dc
openhcs/processing/backends/analysis/focus_analyzer.py	112.57	0	326	16	9	4	b5e434c0
openhcs/processing/backends/analysis/dxf_mask_pipeline.py	119.03	9	294	35	6	11	b10a2bfc
openhcs/processing/backends/analysis/straighten_object_3d.py	118.98	10	323	32	2	4	4723502e
openhcs/processing/backends/enhance/__init__.py	119.76	0	44	4	0	3	66d31c9e
openhcs/processing/backends/enhance/self_supervised_3d_deconvolution.py	120.94	5	254	23	7	5	e7724475
openhcs/processing/backends/enhance/focus_torch.py	119.96	0	118	16	2	3	37693186
openhcs/processing/backends/enhance/dl_edof_unsupervised.py	119.61	1	200	17	8	6	a43f5f59
openhcs/processing/backends/enhance/basic_processor_cupy.py	117.15	1	284	25	5	6	75cf1b66
openhcs/processing/backends/enhance/basic_processor_numpy.py	116.44	1	255	20	5	5	40730f0b
openhcs/processing/backends/enhance/n2v2_processor_torch.py	113.19	2	510	27	5	5	bb703356
openhcs/processing/backends/pos_gen/__init__.py	117.77	0	34	3	0	2	c22b9e05
openhcs/processing/backends/pos_gen/mist_processor_cupy.py	109.47	1	497	39	4	8	d8091a08
openhcs/processing/backends/pos_gen/ashlar_processor_cupy.py	115.49	1	273	23	3	7	9a55d490
openhcs/processing/backends/processors/jax_processor.py	117.66	1	730	38	21	5	e0819fd8
openhcs/processing/backends/processors/torch_processor.py	118.02	1	665	38	14	5	043ae54d
openhcs/processing/backends/processors/numpy_processor.py	117.20	1	501	33	13	6	44b2bc02
openhcs/processing/backends/processors/cupy_processor.py	118.04	1	558	36	13	5	0fe19738
openhcs/processing/backends/processors/tensorflow_processor.py	117.74	1	730	39	14	6	d45ffc47
